"18510624","TOTAL","T","DE719",2014,1725
"18510625","TOTAL","T","DE71A",2014,1010
"18510626","TOTAL","T","DE71B",2014,179
"18510627","TOTAL","T","DE71C",2014,1914
"18510628","TOTAL","T","DE71D",2014,588
"18510629","TOTAL","T","DE71E",2014,1077
"18510630","TOTAL","T","DE72",2014,-50
"18510631","TOTAL","T","DE721",2014,817
"18510632","TOTAL","T","DE722",2014,-300
"18510633","TOTAL","T","DE723",2014,-77
"18510634","TOTAL","T","DE724",2014,-19
"18510635","TOTAL","T","DE725",2014,-481
"18510636","TOTAL","T","DE73",2014,900
"18510637","TOTAL","T","DE731",2014,1151
"18510638","TOTAL","T","DE732",2014,114
"18510639","TOTAL","T","DE733",2014,44
"18510640","TOTAL","T","DE734",2014,403
"18510641","TOTAL","T","DE735",2014,-247
"18510642","TOTAL","T","DE736",2014,-419
"18510643","TOTAL","T","DE737",2014,-116
"18510644","TOTAL","T","DE80",2014,-2115
"18510645","TOTAL","T","DE801",2014,470
"18510646","TOTAL","T","DE802",2014,-236
"18510647","TOTAL","T","DE803",2014,1527
"18510648","TOTAL","T","DE804",2014,349
"18510649","TOTAL","T","DE805",2014,287
"18510650","TOTAL","T","DE806",2014,101
"18510651","TOTAL","T","DE807",2014,111
"18510652","TOTAL","T","DE808",2014,-674
"18510653","TOTAL","T","DE809",2014,-568
"18510654","TOTAL","T","DE80A",2014,-444
"18510655","TOTAL","T","DE80B",2014,-544
"18510656","TOTAL","T","DE80C",2014,-195
"18510657","TOTAL","T","DE80D",2014,-515
"18510658","TOTAL","T","DE80E",2014,-313
"18510659","TOTAL","T","DE80F",2014,-247
"18510660","TOTAL","T","DE80G",2014,-594
"18510661","TOTAL","T","DE80H",2014,-203
"18510662","TOTAL","T","DE80I",2014,-442
"18510663","TOTAL","T","DE91",2014,2742
"18510664","TOTAL","T","DE911",2014,2082
"18510665","TOTAL","T","DE912",2014,-225
"18510666","TOTAL","T","DE913",2014,1167
"18510667","TOTAL","T","DE914",2014,-120
"18510668","TOTAL","T","DE915",2014,366
"18510669","TOTAL","T","DE916",2014,142
"18510670","TOTAL","T","DE917",2014,-80
"18510671","TOTAL","T","DE918",2014,-441
"18510672","TOTAL","T","DE919",2014,-291
"18510673","TOTAL","T","DE91A",2014,113
"18510674","TOTAL","T","DE91B",2014,51
"18510675","TOTAL","T","DE92",2014,5479
"18510676","TOTAL","T","DE922",2014,434
"18510677","TOTAL","T","DE923",2014,-307
"18510678","TOTAL","T","DE925",2014,-208
"18510679","TOTAL","T","DE926",2014,-218
"18510680","TOTAL","T","DE927",2014,-139
"18510681","TOTAL","T","DE928",2014,-86
"18510682","TOTAL","T","DE929",2014,5995
"18510683","TOTAL","T","DE93",2014,3602
"18510684","TOTAL","T","DE931",2014,-61
"18510685","TOTAL","T","DE932",2014,185
"18510686","TOTAL","T","DE933",2014,1470
"18510687","TOTAL","T","DE934",2014,145
"18510688","TOTAL","T","DE935",2014,1056
"18510689","TOTAL","T","DE936",2014,296
